State,Month,co µg/m³,no2 µg/m³,pm10 µg/m³,pm25 µg/m³,so2 µg/m³,Asthama_Cases,Bronchitis_Cases,Heart_attacks,COPD_Cases,Neumonia_Cases
Maharashtra,August,367.55,10.65,37.85,51.93,206.25,10000,1403,4370,8900,8500
Maharashtra,December,932.06,40.85,283.74,88.55,13.26,11500,2250,4810,9700,2700
Maharashtra,February,1068.22,40.4,141.78,66.94,19.99,9000,1850,4370,9700,2300
Maharashtra,January,1068.9,32.29,132.34,76.9,15.0,10000,2050,4810,9800,2200
Maharashtra,July,408.06,10.27,108.72,58.47,343.3,9500,1360,4370,8800,9500
Maharashtra,June,490.5,12.77,95.98,51.45,476.44,8500,1280,3930,8700,9000
Maharashtra,March,709.83,27.24,117.49,47.03,18.28,12000,1395,4370,9600,3000
Maharashtra,May,418.94,10.51,75.91,46.31,210.43,7000,910,3500,8900,7500
Maharashtra,November,954.0,38.13,144.38,83.16,17.41,13000,2100,3930,9600,3500
Maharashtra,October,867.47,22.16,106.38,97.23,11.36,12500,1620,3500,9300,5000
Maharashtra,September,556.53,14.54,71.46,52.86,11.21,11000,1360,3500,9000,7000
Meghalaya,April,192.0,2.18,57.3,29.6,7.4,680,1360,1727,650,60
Meghalaya,August,133.0,2.75,10.9,6.28,5.65,1224,1020,2015,625,80
Meghalaya,December,202.0,2.11,41.4,22.2,5.75,1088,1360,2464,750,55
Meghalaya,February,401.0,2.96,65.0,48.3,7.85,952,1870,2193,725,45
Meghalaya,January,349.0,2.4,32.0,27.7,6.79,1088,2040,2464,750,50
Meghalaya,July,120.0,2.76,6.86,6.14,4.11,1088,850,2015,600,85
Meghalaya,June,166.0,2.9,16.4,10.9,9.65,816,850,1479,600,75
Meghalaya,March,278.0,2.6,54.3,37.0,5.38,816,1700,2193,675,55
Meghalaya,May,183.0,2.71,22.9,15.6,8.11,544,1020,1479,625,65
Meghalaya,November,181.0,2.64,20.2,16.0,8.56,1088,1360,2193,725,60
Meghalaya,October,215.0,2.72,17.8,14.6,7.66,1088,1360,2193,675,65
Meghalaya,September,152.0,2.79,11.4,9.86,6.69,1088,1190,2015,650,70
Mizoram,April,300.0,0.29,26.5,21.0,6.76,570,500,1727,250,60
Mizoram,August,225.0,0.23,10.1,1.45,10.0,1027,375,2015,240,80
Mizoram,December,280.0,0.63,37.6,20.8,6.32,913,500,2464,300,55
Mizoram,July,128.0,0.19,6.49,0.39,4.44,913,313,2015,230,85
Mizoram,June,168.0,0.22,8.17,2.09,7.07,685,313,1479,230,75
Mizoram,March,417.0,0.45,51.5,42.9,6.72,685,625,2193,260,55
Mizoram,May,284.0,0.31,17.0,12.7,8.87,456,375,1479,240,65
Mizoram,November,263.0,0.31,25.8,11.0,4.52,913,500,2193,290,60
Mizoram,October,195.0,0.04,4.31,0.0,19.1,913,500,2193,260,65
Mizoram,September,221.0,0.13,7.19,0.96,16.2,913,438,2015,250,70
Nagaland,December,506.0,2.69,66.3,28.7,15.9,1730,880,3249,480,55
Nagaland,November,429.0,2.69,75.5,30.4,14.5,1730,880,2894,460,60
Nagaland,October,434.0,2.66,56.6,20.5,14.0,1730,880,2894,430,65
Nagaland,September,333.0,2.58,46.3,18.9,12.3,1730,770,2654,420,70
Odisha,April,1256.5,4.87,99.05,50.0,3.08,20826,18400,820,600,1200
Odisha,August,1242.5,14.36,68.0,25.35,18.06,19810,13800,1289,800,1400
Odisha,December,1535.0,23.67,165.5,80.95,25.3,19048,18400,876,1100,1100
Odisha,February,849.5,12.01,135.0,75.65,15.56,21334,29900,1025,800,900
Odisha,January,1345.0,15.3,202.0,101.15,9.82,21588,32200,1172,1200,1000
Odisha,July,699.5,14.58,42.25,21.1,17.7,20064,11500,1289,800,1500
Odisha,June,749.0,5.26,92.75,40.5,10.92,20318,11500,820,700,1400
Odisha,March,1022.0,5.9,91.0,44.1,16.34,21080,25300,1172,700,1100
Odisha,May,997.5,8.78,76.95,49.25,9.21,20572,13800,938,600,1300
Odisha,November,1295.0,37.9,117.0,57.8,20.55,19048,20700,1025,1000,1100
Odisha,October,875.0,20.7,86.8,39.15,14.9,19302,18400,1172,800,1200
Odisha,September,439.5,12.42,84.05,35.55,14.85,19556,16100,1289,700,1300
Punjab,April,558.71,12.29,50.67,24.99,7.47,54000,5100,10290,2592,1440
Punjab,August,405.78,15.2,45.93,20.45,6.39,90000,4500,11760,3456,720
Punjab,December,698.71,25.01,155.0,71.21,10.66,90000,11400,22050,6480,1200
Punjab,February,727.71,16.11,112.8,59.24,14.23,90000,8000,11760,3456,1200
Punjab,January,712.01,16.01,102.54,58.81,11.63,108000,9000,14700,4320,1200
Punjab,July,421.78,13.77,66.2,37.13,6.79,72000,3800,10290,3456,720
Punjab,June,441.0,13.69,98.24,41.63,31.72,54000,3800,8820,3024,720
Punjab,March,695.02,16.47,67.37,29.37,10.4,72000,7000,10290,3024,1440
Punjab,May,455.0,14.71,87.21,39.53,71.11,45000,4250,8820,2592,1440
Punjab,November,671.26,27.31,183.0,87.96,13.92,63000,9200,14700,4320,1440
Punjab,October,543.64,18.7,164.14,73.77,11.42,72000,7150,11760,3456,1440
Punjab,September,463.21,25.78,75.81,41.79,6.85,90000,5250,11760,3024,1440
Rajasthan,April,542.22,14.11,69.86,30.29,9.23,40500,32480,1071,13000,1400
Rajasthan,August,583.22,14.5,57.88,26.09,9.73,73500,24360,1250,12500,1600
Rajasthan,December,1125.22,36.34,139.78,66.6,12.45,64800,32480,1360,19000,1200
Rajasthan,February,858.56,35.91,115.48,56.39,11.63,56700,44660,1360,17500,1100
Rajasthan,January,799.89,29.27,101.28,50.09,9.89,64800,48720,1530,18000,1200
Rajasthan,July,594.11,14.95,67.82,33.37,8.99,64800,20300,1250,12000,1700
Rajasthan,June,659.44,15.16,78.02,36.83,8.66,48600,20300,918,12000,1600
Rajasthan,March,704.22,25.66,86.58,42.53,10.94,48600,40600,1360,15000,1300
Rajasthan,May,542.44,15.08,92.91,40.63,8.5,32400,24360,918,12500,1500
Rajasthan,November,1037.0,38.43,148.33,73.84,10.29,64800,32480,1360,17000,1300
Rajasthan,October,902.22,31.53,117.33,55.48,10.44,64800,32480,1360,14000,1400
Rajasthan,September,685.44,18.04,74.96,34.92,10.36,64800,28420,1250,13000,1500
Tamil Nadu,April,614.75,8.28,15.1,15.12,5.18,23100,1008,8200,9000,870
Tamil Nadu,August,825.75,9.5,48.9,30.65,5.64,38500,997,10400,12000,1450
Tamil Nadu,December,586.14,12.84,74.1,39.4,7.86,38500,997,11600,17000,1160
Tamil Nadu,February,798.75,13.68,66.2,37.4,13.66,30800,945,9800,13000,1450
Tamil Nadu,January,828.25,15.36,58.8,46.48,13.93,38500,1050,10200,14000,1740
Tamil Nadu,July,927.0,13.11,38.6,27.68,4.74,34650,945,10100,11000,1450
Tamil Nadu,June,1058.25,11.24,45.6,28.32,5.63,26950,924,9000,9000,1015
Tamil Nadu,March,673.25,9.03,26.8,29.02,8.17,26950,1155,10000,12000,1160
Tamil Nadu,May,859.75,7.91,11.5,18.35,4.75,19250,1092,8000,8000,725
Tamil Nadu,November,556.57,12.7,49.52,32.83,7.38,38500,945,11200,16000,1305
Tamil Nadu,October,688.25,11.59,51.2,34.85,8.38,34650,1155,11000,14000,1015
Tamil Nadu,September,690.75,10.22,40.1,26.7,7.54,34650,1050,10500,13000,1160
Telangana,April,478.67,34.55,63.22,31.58,692.08,55000,16380,2298,13759,700
Telangana,August,295.8,25.38,34.72,13.73,12.53,80000,13650,2298,11794,800
Telangana,December,637.6,55.76,139.0,73.87,16.32,95000,24570,2298,21622,900
Telangana,February,519.5,59.8,100.25,46.07,21.98,85000,27300,2298,21622,800
Telangana,January,553.67,36.66,107.0,54.17,17.23,90000,32760,2298,23587,850
Telangana,July,302.4,24.16,32.5,14.5,12.18,75000,13650,2298,11794,750
Telangana,June,307.0,25.12,47.42,17.92,14.02,70000,16380,2298,11794,700
Telangana,March,474.5,25.26,81.18,35.67,11.64,65000,24570,2298,17690,750
Telangana,May,459.6,29.08,82.55,32.9,6888.23,60000,13650,2298,11794,650
Telangana,November,495.4,44.26,117.0,55.82,18.82,100000,24570,2298,21622,900
Telangana,October,510.2,38.04,104.6,49.12,10.76,95000,21840,2298,15725,900
Telangana,September,317.6,27.02,45.28,17.68,12.48,85000,16380,2298,13759,850
Tripura,December,1190.0,13.1,106.0,74.1,12.7,6107,1469,1556,800,65
Tripura,November,790.0,8.84,95.1,71.0,11.6,6107,1469,1383,780,70
Uttar Pradesh,April,1054.93,22.74,128.68,50.47,18.01,168000,129000,28000,13800,10000
Uttar Pradesh,August,842.19,15.25,56.29,32.09,8.79,105000,161000,36000,11500,14000
Uttar Pradesh,December,1574.53,67.79,326.69,195.22,16.25,147000,202000,41500,29900,18500
Uttar Pradesh,February,1275.87,46.66,200.91,105.58,16.35,168000,253000,33500,25300,17000
Uttar Pradesh,January,1456.94,55.06,215.67,135.69,15.31,231000,276000,33500,27600,18000
Uttar Pradesh,July,983.69,17.46,79.77,33.81,11.92,105000,161000,37000,11500,13000
Uttar Pradesh,June,1015.56,19.81,124.8,44.84,15.9,147000,138000,35000,13800,11000
Uttar Pradesh,March,1118.33,30.41,127.0,59.99,17.26,147000,166000,32000,23000,15000
Uttar Pradesh,May,1077.14,29.78,147.86,54.06,16.7,189000,110000,30000,11500,9000
Uttar Pradesh,November,1607.6,67.72,351.5,183.65,16.45,210000,253000,37000,29900,17500
Uttar Pradesh,October,1433.4,56.44,290.0,132.19,16.82,147000,207000,35000,18400,16000
Uttar Pradesh,September,957.73,24.03,124.89,56.05,12.01,126000,184000,34000,13800,15000
West Bengal,April,416.09,12.63,55.99,24.61,8.67,29100,6120,14400,20400,907
West Bengal,August,499.73,12.63,36.44,16.7,8.89,48500,10200,12600,23300,1058
West Bengal,December,1323.67,52.67,235.17,149.32,21.01,48500,7140,21600,26200,1663
West Bengal,February,883.18,54.96,169.36,87.05,18.05,38800,8160,14400,26200,1512
West Bengal,January,1089.75,50.35,183.24,116.22,17.29,53350,10200,16200,29100,1814
West Bengal,July,406.64,13.07,46.51,15.22,8.8,43650,8160,12600,23300,1058
West Bengal,June,416.18,13.8,37.32,16.29,7.21,33950,6120,12600,23300,756
West Bengal,March,668.64,32.48,98.91,50.76,14.4,33950,7140,14400,23300,1210
West Bengal,May,360.18,11.81,38.11,46.2,7.02,29100,5100,12300,20400,756
West Bengal,November,790.67,38.65,146.95,77.83,17.98,48500,10200,18000,26200,1814
West Bengal,October,677.27,21.57,81.59,37.71,10.18,33950,10920,16200,26200,1512
West Bengal,September,501.73,13.1,41.27,17.5,7.57,43650,12240,14400,23300,1058
